Item #,Description,Default Cost,Dynamic Margin,Original Price,Current Price,Active?,Track Inventory?,Long Description,Prompt for description?,Prompt for price?,Primary Image,Use dynamic margin?,Primary Vendor,Tax Exempt?,Color,Size,Category,UPC,UPC2,UPC3,Weight,Weight Unit,Width,Width Unit,Height,Height Unit,Depth,Depth Unit,Los Potros Distribution Center Reorder Point,Los Potros Distribution Center Target Qty,Los Potros Distribution Center Bin Location,All Locations Reorder Point,All Locations Target Qty,All Locations Bin Location,Vendor Details Item # (1),Vendor Details Default Cost (1),Vendor Details # (1),Vendor Details Item # (2),Vendor Details Default Cost (2),Vendor Details # (2),Vendor Details Item # (3),Vendor Details Default Cost (3),Vendor Details # (3),Vendor Details Item # (4),Vendor Details Default Cost (4),Vendor Details # (4),Vendor Details Item # (5),Vendor Details Default Cost (5),Vendor Details # (5),Vendor Details Item # (6),Vendor Details Default Cost (6),Vendor Details # (6),Vendor Details Item # (7),Vendor Details Default Cost (7),Vendor Details # (7),Vendor Details Item # (8),Vendor Details Default Cost (8),Vendor Details # (8),Vendor Details Item # (9),Vendor Details Default Cost (9),Vendor Details # (9),Vendor Details Item # (10),Vendor Details Default Cost (10),Vendor Details # (10),Item Images URL (1),Item Images URL (2)
100019,LC Serrano Peppers 24/7,22.99,"","",28.0,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/f2a68c33image.jpg,false,Vilore Foods,"","","",Grocery,3007639700307,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/f2a68c33image.jpg,"","",""
100020,LC Serrano Peppers 12/26,29.99,"","",35.99,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/d552ae95image.jpg,false,Vilore Foods,"","","",Grocery,2007639700328,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/d552ae95image.jpg,"","",""
100021,LC Sliced Jalapeno 12/12,17.99,"","",23.99,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/e6f0393aimage.jpg,false,Vilore Foods,"","","",Grocery,2007639700212,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/e6f0393aimage.jpg,"","",""
100022,LC Whole Jalapeno 12/12,12.96,"","",18.5,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/a312d2f1image.jpg,false,Vilore Foods,"","","",Grocery,2007639700112,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/a312d2f1image.jpg,"","",""
100023,LC Whole Jalapeno 24/7,20.88,"","",28.0,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/bea7bffeimage.jpg,false,Vilore Foods,"","","",Grocery,3007639700107,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/bea7bffeimage.jpg,"","",""
100024,Juanitas Hominy 6/10,1.0,"","",36.0,false,true,<p><br></p>,false,false,"",false,Juanitas Foods,"","","",Grocery,01,"","","","","","","","","","","","","","","","","","",Juanitas Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100025,LC Chipotle Pepper 12/12,33.49,"","",46.0,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/90567f65image.jpg,false,Vilore Foods,"","","",Grocery,2007639700412,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/90567f65image.jpg,"","",""
100026,LC Sliced Jalapeno 24/7,23.49,"","",28.69,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/796e494dimage.jpg,false,Vilore Foods,"","","",Grocery,3007639700207,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/796e494dimage.jpg,"","",""
100027,LC Chipotle Sauce 24/7.76,15.9,"","",38.69,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/ba0b2847image.jpg,false,Vilore Foods,"","","",Grocery,3007639700408,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/ba0b2847image.jpg,"","",""
100028,LC Nopales 12/29,16.49,"","",44.9,true,true,<p><br></p>,false,false,https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/51b39d11image.jpg,false,Vilore Foods,"","","",Grocery,2007639701028,"","","","","","","","","","","","","","","","","","",Vilore Foods,"","","","","","","","","","","","","","","","","","","","","","","","","","","",https://4794e659cbf105d62cfb-38247721c42caba773d11716d2487206.ssl.cf2.rackcdn.com/51b39d11image.jpg,"","",""
